naptanId,NumToilets,HasAccessibleToilets
910GACTONML,1,True
910GBHILLPK,3,True
910GBNHAM,3,True
910GBRTWOOD,3,True
910GCHDWLHT,1,True
910GCHESHNT,3,True
910GCHINGFD,3,True
910GDALS,1,True
910GDENMRKH,1,True
910GENFLDTN,3,True
910GFRSTGT,1,True
910GGIDEAPK,3,True
910GGODMAYS,1,True
910GGOSPLOK,3,True
910GHAGGERS,1,True
910GHANWELL,1,True
910GHAYESAH,3,True
910GHOXTON,1,True
910GHRLDWOD,3,True
910GILFORD,3,True
910GIVER,1,True
910GLANGLEY,3,True
910GMANRPK,1,True
910GMRYLAND,1,True
910GMDNHEAD,3,True
910GPENEW,3,True
910GRDNGSTN,3,True
910GROMFORD,3,True
910GSHENFLD,3,True
910GSHRDHST,1,True
910GSLOUGH,3,True
910GSTHALL,3,True
910GSVNKNGS,1,True
910GTAPLOW,3,True
910GTWYFORD,3,True
910GWDRYTON,3,True
910GWEALING,1,True
910GWHMDSTD,3,True
940GZZDLSIT,3,True
940GZZLUACT,3,True
940GZZLUALP,2,False
940GZZLUBEC,2,False
940GZZLUBKE,2,False
940GZZLUBKH,2,False
940GZZLUBOS,2,False
940GZZLUBSC,2,False
940GZZLUBST,2,False
940GZZLUCKS,2,False
940GZZLUCPK,3,True
940GZZLUCSM,2,False
940GZZLUCWL,2,False
940GZZLUCXY,2,False
940GZZLUDBN,2,False
940GZZLUDGE,2,False
940GZZLUDGY,3,True
940GZZLUDOH,3,True
940GZZLUECM,2,False
940GZZLUEPG,3,True
940GZZLUEPK,3,True
940GZZLUFLP,2,False
940GZZLUFYC,1,True
940GZZLUFYR,2,True
940GZZLUGGH,2,False
940GZZLUGPK,2,False
940GZZLUHBT,3,True
940GZZLUHCH,2,False
940GZZLUHCL,1,True
940GZZLUHGD,3,True
940GZZLUHGR,2,False
940GZZLUHLT,1,True
940GZZLUHWC,2,False
940GZZLUHWE,1,True
940GZZLUKBN,3,True
940GZZLUKBY,3,True
940GZZLULGN,2,False
940GZZLULYN,2,False
940GZZLULYS,2,False
940GZZLUMPK,2,False
940GZZLUNBP,2,False
940GZZLUNEN,2,False
940GZZLUNFD,2,False
940GZZLUNHA,2,False
940GZZLUNHT,2,False
940GZZLUNKP,2,False
940GZZLUNOW,2,False
940GZZLUNWH,2,False
940GZZLUOAK,2,False
940GZZLUOSY,2,False
940GZZLUPCC,2,False
940GZZLUPKR,2,False
940GZZLUPNR,3,True
940GZZLUPRD,2,False
940GZZLUPVL,2,False
940GZZLUQBY,3,True
940GZZLURBG,2,False
940GZZLURSG,1,True
940GZZLURSM,2,False
940GZZLURSP,2,False
940GZZLURVY,2,False
940GZZLUSFB,2,False
940GZZLUSJW,3,True
940GZZLUSNB,2,False
940GZZLUSTM,3,True
940GZZLUSUH,2,False
940GZZLUSUT,2,False
940GZZLUTAW,2,False
940GZZLUTHB,2,False
940GZZLUUPB,2,False
940GZZLUUPY,2,False
940GZZLUUXB,3,True
940GZZLUWAF,2,False
940GZZLUWCY,2,False
940GZZLUWFN,2,False
940GZZLUWHW,3,True
940GZZLUWIG,2,True
940GZZLUWLA,1,True
940GZZLUWOF,2,False
940GZZLUWOP,2,False
940GZZLUWTA,2,False
940GZZLUWYP,3,True
HUBABW,3,False
HUBAMR,2,False
HUBBEK,3,True
HUBBFR,3,True
HUBBKG,3,True
HUBCAW,3,True
HUBCFO,2,False
HUBCHX,3,True
HUBCLJ,3,True
HUBCLW,2,False
HUBCST,3,True
HUBCUS,1,True
HUBCYP,3,True
HUBEAL,3,True
HUBELM,1,False
HUBEUS,3,True
HUBH13,3,True
HUBHOH,2,False
HUBHX4,3,True
HUBHX5,3,True
HUBKGX,3,True
HUBKPA,3,True
HUBKWG,2,False
HUBLBG,3,True
HUBLEW,3,True
HUBLST,3,True
HUBMJT,1,True
HUBMYB,3,True
HUBNWD,3,True
HUBNWX,3,True
HUBPAD,3,True
HUBRIC,2,False
HUBRMD,3,True
HUBSRA,4,True
HUBSRU,1,True
HUBSVS,2,False
HUBTCR,1,True
HUBTOM,3,True
HUBUPM,3,True
HUBVIC,6,True
HUBVXH,2,False
HUBWAT,3,True
HUBWFJ,4,True
HUBWIJ,3,True
HUBWIM,3,True
HUBWMB,3,True
HUBWRU,2,False
HUBWSM,2,False
HUBZFD,4,True
HUBZWL,1,True
940GZZNEUGST,1,True
940GZZBPSUST,1,True
910GBKRVS,1,True
